name,address
Mattancherry Paradesi Synagogue,"Mattancherry Paradesi Synagogue, Palace Road, Mattancherry, Kochi - 628002, Kerala, India"
Guruvayur Sree Krishna Temple,"Guruvayur Sree Krishna Temple, East Nada Walkway, Mammiyoor, Guruvayur - 680101, Kerala, India"
Thaikal Beach,"Thaikal Beach, Thyckal, Cherthala, India"
Jawaharlal Nehru International Stadium,"Jawaharlal Nehru International Stadium, Stadium Round, Friendship Nagar, Ernakulam - 682025, Kerala, India"
Walayar Dam,"Walayar Dam, 678624, Tamil Nadu, India"
Changampuzha Park,"Changampuzha Park, Sonia Nagar, Ernakulam, Kanayannur, India"
Kerala Kathakali Centre,"Kerala Kathakali Centre, KB Jacob Road, Fort Kochi, Kochi - 682001, Kerala, India"
Fort Kochi Jail,"Fort Kochi Jail, KB Jacob Road, Fort Kochi, Kochi - 682001, Kerala, India"
St Francis Church,"St Francis Church, Bastian Street, Fort Kochi, Kochi - 682001, Kerala, India"
Mangalavanam,"Mangalavanam, Pachalam, Ernakulam, Kanayannur, India"
Vazhachal Falls,"Vazhachal Falls, Vazhachal Colony, Chalakkudy, India"
Bolgatty Palace,"Bolgatty Palace, Ponjikara Road, Ponjikkara, Ernakulam - 682031, Kerala, India"
St. Xavier's Latin Catholic Church,"St. Xavier's Latin Catholic Church, Alappuzha - Arthunkal - Chellanam - Thoppumpady Road, Andhakaranazhy - 688529, Kerala, India"
Mattancherry Dutch Palace Complex,"Mattancherry Dutch Palace Complex, Synagogue Lane, Mattancherry, Kochi - 628002, Kerala, India"
Punnathur Kotta,"Punnathur Kotta, Mahathma Gandhi Road (1st Avenue), Thampuran Padi, Kottappadi - 680103, Kerala, India"
"ems samskarikanilayam, chittilappilly","ems samskarikanilayam, chittilappilly, Lakshamveed Road, Amala Nagar - 680551, Kerala, India"
Arthunkal beach,"Arthunkal beach, Arthunkal, Cherthala, India"
Arthunkal Church,"St. Andrew’s Basilica, Saint Sebastian Church Road, Arthunkal - 688530, Kerala, India"
Athirappilly and Vazhachal Waterfalls,"Athirappilly Falls, Aluva, India"
Charpa Waterfall,"Charpa Waterfall, Vazhachal Colony, Chalakkudy, India"
Elephant Bathing Spot,"Elephant Bathing Spot, Panaguruthottam Road, Panaguruthottam, Ernakulam - 683544, Kerala, India"
Maliyekkal(H),"Maliyekkal(H), 89, Edakkara-Karulai Road, Vadakkekai SC Colony - 679330, Kerala, India"
Perinjanam,"Perinjanam, Ponnani-Chavakkad-Kodungallur Highway, Mathilakam - 680686, Kerala, India"
Ernakulam Terminus,"Ernakulam Terminus, Dr Salim Ali Road, Ernakulam North, Ernakulam - 682018, Kerala, India"
Kadavumbhagam Ernakulam Synagogue,"Kadavumbhagam Ernakulam Synagogue, Market Road, Shenoys, Ernakulam - 682035, Kerala, India"
Mala Synagogue,"Mala Synagogue, Mala - Kodungallur Road, Moonnumuri Junction, Malapallipuram - 680733, Kerala, India"
"Marine Drive, Kochi","Marine Drive, Kochi, Marine Drive Walkway, Shenoys, Ernakulam - 682035, Kerala, India"
